author,comments,name,press,price,rank
安东尼,649424条评论,我爸爸+我妈妈（全2册）——清华附小推荐经典儿童绘本 ！（启发童,河北教育出版社,¥39.80,27.
希阿荣博堪布,272976条评论,次第花开 修订版,海南出版社,¥17.90,28.
中国法制出版社,68709条评论,中华人民共和国民法典（实用版）2020年6月新版 团购电话：400106,中国法制出版社,¥28.00,29.
史蒂夫·比达尔夫,460348条评论,养育男孩（典藏版）,中信出版社,¥19.10,30.
哈珀·李,237108条评论,杀死一只知更鸟（豆瓣9.2，关于勇气与正义的成长教科书，影响全球,译林出版社,¥24.00,31.
克里斯多福·孟,505060条评论,亲密关系：通往灵魂的桥梁（新版）：完美先生魏哲鸣研究与异性完,湖南文艺出版社,¥20.20,32.
埃·拉斯伯,59547条评论,吹牛大王历险记（德国百年童话，名家未删节全译，配德国原版精美,浙江工商大学出版社,¥9.50,33.
卡夫卡,39405条评论,审判（豆瓣9.0分高评译本）,时代文艺出版社,¥12.30,34.
歪歪兔关键期早教,200059条评论,一看就会的思维导图启蒙绘本（歪歪兔童书馆出品）,海豚出版社,¥49.90,35.
哥伦比亚,679794条评论,霍乱时期的爱情（《百年孤独》作者马尔克斯传世巨著，展示爱情的,南海出版公司,¥34.50,36.
丰子恺,396437条评论,丰子恺万般滋味，都是生活,华中科技大学出版社,¥14.80,37.
毛姆,39159条评论,面纱（毛姆关于女性精神觉醒的经典作品，三次改编成电影。2018全,时代文艺出版社,¥13.20,38.
张磊,43815条评论,【包邮】价值：我对投资的思考 （高瓴资本创始人兼首席执行官张磊,浙江教育出版社,¥59.00,39.
北猫,429744条评论,米小圈上学记一年级（套装共4册）,四川少儿出版社,¥49.00,40.
罗尔德·达尔,166958条评论,罗尔德·达尔作品典藏（彩图拼音版）—了不起的狐狸爸爸,明天出版社,¥14.00,141.
张岱,62962条评论,作家榜经典：夜航船（年轻人要熟知的4248个文化常识！贾平凹题名,浙江文艺出版社,¥49.90,142.
瑞贝卡·帕特,127987条评论,我的大喊大叫的一天,新世纪出版社,¥18.00,143.
塔尔莱特·赫里姆,40631条评论,塔木德,中国画报出版社,¥18.00,144.
岸見一郎,175437条评论,被讨厌的勇气：“自我启发之父”阿德勒的哲学课 全新印刷版,机械工业出版社,¥27.50,145.
佐佐木洋子,915694条评论,小熊宝宝绘本（2018版全15册）蒲蒲兰经典畅销绘本！新手妈妈的育,新世纪出版社,¥37.40,146.
毛姆,530809条评论,月亮和六便士（全新导读无删节详注版！ 创500000+读者五星好评奇,时代文艺出版社,¥12.20,147.
埃·奥·卜劳恩,106934条评论,父与子全集（全彩版）,浙江工商大学出版社,¥17.60,148.
YOYO出版社,172709条评论,原声触摸发声书：听，什么声音（套装全6册）,开明出版社,¥156.80,149.
张嘉骅,1824条评论,亲爱的汉语（套装全7册）小学低中年级学生语文素养提升书,青岛出版社,¥76.40,150.
岩井俊雄,120513条评论,100层的房子系列（全4册，《100层的房子》+《地下100层的房子》+,北京科学技术出版社,¥77.20,151.
吕思勉,144696条评论,中国通史（易中天推崇的史学大师吕思勉的国史入门书，华人世界公,民主与建设出版社,¥17.90,152.
汪曾祺,62685条评论,家人闲坐，灯火可亲 汪曾祺散文集（愿你有家可回，有人可等。三餐,光明日报出版社,¥17.50,153.
何孝荣,68031条评论,资治通鉴少年简读版(套装全4册） 四册盒装，精华简读；史家打造，,青岛出版社,¥60.80,154.
张秋生,161078条评论,小巴掌童话注音版8册百篇张秋生一二年级课外书必读三年级课外阅读,山东科学技术出版社,¥32.00,155.
费利克斯·萨尔登,25319条评论,小鹿斑比（名家全译本，国际大师原版插图精美再现，此版当当销量,安徽教育出版社,¥9.90,156.
詹姆斯·迪安,273211条评论,皮特猫·3~6岁好性格养成书：共四辑（套装1~4辑）（乐观、自信、,文汇出版社,¥218.20,157.
北猫,239600条评论,米小圈上学记三年级（套装共4册）,四川少儿出版社,¥49.00,158.
加·泽文,1246411条评论,岛上书店（李现推荐，每个人的生命中，都有无比艰难的那一年，将,江苏文艺出版社,¥15.80,159.
村上春树,388116条评论,挪威的森林（2018年新版，村上春树的残酷青春物语，现象级的超级,上海译文出版社,¥19.00,160.
